,Unnamed: 0,place_name,description,province,etymology
0,0,Abitibi,"Abitibi: lake in northern Ontario, river flowing into
    Moose River, and also territory in Quebec. Abitibi is an Indian word meaning “half-way water”.
    It is derived from abitah meaning “middle, half-way” and nipi, “water”. The name was originally used by the
    French to designate an obscure band of Algonquin
    Indians living hereabout, half-way between the trading
    posts on Hudson Bay and those on the Ottawa River.",Ontario,Indigenous
1,1,Abinger,"Abinger: township in Addington county, Ontario,
    formed in 1859. It was named in honour of Sir James Scarlett, Baron
    Abinger, of Abinger, in Surrey, England. The family
    was somewhat distinguished for public service. One of
    the Baron’s sons, Sir James Yorke Scarlett, had command
    of the heavy cavalry in the Crimean War, 1854-’56. His
    command made the famous charge at Balaclava, and on
    the same day covered the return of Lord Cardigan’s light
    brigade from its heroic charge. Tennyson made each of
    these bold feats the subject of a glowing, picturesque
    poem.",Ontario,English
2,2,Acadia,"Acadia: name given by the early French settlers to
    the present province of Nova Scotia. The word was used
    also in a loose way to include New Brunswick, Prince
    Edward Island, and the eastern part of Quebec and Maine. The origin of the name is uncertain. Several solutions
    have been put forward but none is approved by all
    archæologists. [2] Some writers derive the name from the Micmac word akade meaning “the place of plenty” or “the inhabited
    place”. Among these are Sir William Dawson and Sir
    John Bourinot. They point to the fact that seventeen
    names in the Maritime Provinces have the termination acade. Vétromile derives the name from the Micmac word academ or tedlacadem meaning “This is our village.” Potter thinks the name a French corruption of the
    Indian word Aquoddiauke which is formed from aquoddie meaning “whiting or cod fish” and auke, “place”, “the
    home of the cod fish”. Others derive the name from La Cadie in France.
    There is still a village called Lacadee, near D’Orthez,
    lower Pyrenees, France. This may be the correct derivation.
    Emigrants are partial to the name left behind and
    set to work with lighter heart to create a namesake on
    new shores. The name is preserved in Acadia College, a flourishing
    Baptist institution, at Wolfville, Nova Scotia.",Nova Scotia,Indigenous
3,3,Addington,"Addington: county in Ontario. It was named in 1792 after Henry Addington, Lord
    Sidmouth, who was speaker of the British House of
    Commons from 1789 to 1801, and afterwards Prime
    Minister of the Empire. He was a favourite of King
    George III. Doubtless the county was named by Lieut.-Governor
    Simcoe in honour of his friend.",Ontario,English
4,4,Adelaide,"Adelaide: township in Middlesex county, Ontario, was
    formed in 1830. It was named in honour of Amelia Adelaide Louisa
    Theresa Caroline, eldest daughter of George, Duke of
    Saxe-Coburg-Meiningen, and wife of King William IV.
    of England. [3]",Ontario,English
5,5,Adjala,"Adjala: township in Simcoe county, Ontario, formed
    in 1822. The origin of the word is uncertain. Tradition gives
    Adjala as the name of a daughter of Tecumseh. On the
    other hand Tecumseh’s biographers state he had no
    daughter, and only one son, Pugeshashenwa, “crouching
    panther”.",Ontario,Indigenous
6,6,Admaston,"Admaston: township in Renfrew county, Ontario. It
    was erected into a separate municipality in 1843. The township was named in honour of Admaston
    village in Stafford county, England.",Ontario,English
7,7,Adolphustown,"Adolphustown: township in Lennox county formed in
    1784. It was named after Prince Adolphus Frederick, Duke
    of Cambridge, seventh son of King George III. His son,
    Prince George, Duke of Cambridge, became Commander-in-Chief
    of the armies of the Empire. Queen Mary, wife
    of George V., is the great-grand-daughter of Prince
    Adolphus.",Unknown,English
8,8,Airy,"Airy: township in Nipissing, Ontario, formed in 1872. It was named after Sir George Biddell Airy, an eminent
    British scientist, Astronomer Royal, 1835-’81. He
    discovered the optical disorder called Astigmatism and
    furnished a remedy for it.",Ontario,English
9,9,Albemarle,"Albemarle: township in Bruce county, Ontario,
    formed in 1855. It was named in honour of General George Thomas
    Keppel, sixth Earl of Albemarle, who fought with distinction
    at Waterloo with the 14th regiment. The name was
    no doubt suggested by his son, Viscount Bury, afterwards
    seventh Earl of Albemarle, when he was Superintendent
    of Indian Affairs in Canada, 1854-’56. He negotiated a[4] treaty that opened up the Saugeen reserve for settlement.
    The first Earldom of Albemarle was conferred by King
    William III. and takes its name from a town and territory
    in Normandy.",Ontario,English
10,10,Alberni,"Alberni: city in British Columbia. It takes its name from the Alberni Canal, named in
    1791, after Pedro Alberni, Commander of the military
    force under Lieut. Francisco Eliza sent by the Viceroy of
    Mexico in 1790 to take possession of this coast.",British Columbia,Other European
11,11,Alberta,"Alberta: province of Canada. This area was created
    a district in 1882, enlarged and erected into a province
    in 1905 by the Federal Government of Canada. It bestowed the privilege of naming this new district
    on the Marquis of Lorne, Governor-General of Canada,
    1878-’83. He named it Alberta in honour of his wife,
    H.R.H. Princess Louise Caroline Alberta.",Alberta,English
12,12,Albion,"Albion: township in Peel county, Ontario. It is an ancient name for England, a favourite of
    poets. Originally Albion (from the Latin albus, white, referring
    to the white cliffs of the southern shore) included the
    whole island, Britain, but gradually became restricted to
    England, and the variant Albyn to the Highlands of
    Scotland.",Ontario,English
13,13,Aldborough,"Aldborough: township in Elgin county, Ontario,
    formed in 1792. [5] It is named after Aldborough in Suffolk, England.
    Aldborough was the birthplace of Rev. George Crabbe,
    1754-1832, a poet of distinction at this time. The Aldborough
    writer’s themes were social and attracted the
    attention of Simcoe and his staff, who suggested so many
    of the place-names of Upper Canada.",Ontario,English
14,14,Alexandria,"Alexandria: historic town in Glengarry county,
    Ontario, incorporated on January 1st, 1903. The disbanded regiment of the Glengarry Fencibles,
    accompanied by their chaplain, Father Alexander MacDonell,
    settled in this locality in 1803. One of the first
    buildings erected in what is now the town of Alexandria
    was the grist-mill built about the year 1821. It was the
    project of Father MacDonell who was the second priest
    in the district and who was afterwards the first Bishop
    of Kingston, the first Roman Catholic Bishop in the
    Province. The place was known for some years as
    Priest’s Mills. It was afterwards changed to Alexandria
    derived from the Reverend Father’s Christian name.",Ontario,Scottish
