,CGNDB ID,place_name,ISO Language Code,language,Syllabic Form,term,category,Concise Code,Toponymic Feature ID,lat,long,Location,province,relevance,Decision Date,Source,Unnamed: 0.1,Unnamed: 0,description,etymology,merge_type,source
0,BAARG,Charlottetown,und,Undetermined,,City,Populated Place,CITY,7793ebdfd05511d892e2080020a0f4c9,46.240278,-63.134722,Queens,Prince Edward Island,30000000,6/17/1996,Prince Edward Island-Department of Finance,221.0,221.0,"Charlottetown: the capital of Prince Edward Island.
    It is the only city in the island. [62] It was named in honour of Queen Charlotte, the consort
    of King George III. She was the daughter of Charles
    Louis, Duke of Mechlinburg. Queen Charlotte died in
    1818, leaving nine sons and six daughters. The Micmac
    Indian name is Booksak, meaning “narrow passage
    between cliffs”.",English,exact,Armstrong (1930)
1,IACMP,Edmonton,und,Undetermined,,City,Populated Place,CITY,8b296095c6be11d892e2080020a0f4c9,53.5344445,-113.4902778,,Alberta,30000000,1/1/2002,AB-Ministry of Culture and Status of Women,333.0,333.0,"Edmonton: the capital of Alberta. It took its name from Fort Edmonton, built in 1795,
    twenty miles farther down the North Saskatchewan
    River, by George Sutherland, of the Hudson’s Bay Company.
    It was named after Edmonton, near London, England,
    probably as a compliment to John Prudens, Sutherland’s
    clerk, who was born there. This fort was destroyed
    by the Indians in 1807. A new fort of the same name
    was built in 1808 on the slope of the high bank within
    the limits of the present city of Edmonton. Later the
    word fort fell into disuse and when the first post office
    was opened on February 1, 1877, it was named simply,
    Edmonton. Cowper has immortalized the English town in his
    “History of John Gilpin”:",English,exact,Armstrong (1930)
3,CAPHL,Halifax,und,Undetermined,,Metropolitan Area,Populated Place,UNP,3cdd11afaf6811d892e2080020a0f4c9,44.647401,-63.590651,Halifax,Nova Scotia,30000000,4/1/1996,Nova Scotia-Department of Internal Services,456.0,456.0,"Halifax: city, capital of Nova Scotia, was founded in
    1749 under the patronage and financial support of His
    Majesty’s Government. 1176 settlers and their families,
    army and navy veterans for the most part, were transported
    free of cost, supplied with provisions for one year,
    and arms and ammunition for defence. In addition they
    were given free lots, building material, implements for
    tilling the soil, and articles for prosecuting the fishery. The Hon. Edward Cornwallis was appointed Captain-General
    of the expedition and Governor of Nova Scotia.
    He named the new town Halifax in honour of George
    Montague Dunk, second Earl of Halifax, President of the
    Board of Trade at this period. Some writers state the word Halifax means Holy Hair.
    It is said a virgin was murdered long ago near this place,[126] (Halifax, York county, England) and suspended by her
    hair from a tree. The Micmac Indian name for Bedford Basin is
    Chebooktook meaning “chief harbour”, and for the site
    of Halifax, Gwowamicktook, meaning “white pine forest”.",English,exact,Armstrong (1930)
4,OATRP,Iqaluit,ike,"Inuktitut, Eastern Canadian",?????,City,Populated Place,CITY,33e24964c6ce11d892e2080020a0f4c9,63.75,-68.516667,,Nunavut,30000000,4/19/2001,NU-Department of Culture and Heritage,,,,Indigenous,exact,Canadian Geographic Names Database
6,EHTWR,Quebec,mis,Uncoded languages,,Town,Populated Place,CITY,24e21a60be4811d892e2080020a0f4c9,46.813819,-71.207997,Québec; Capitale-Nationale,Quebec,30000000,1/24/2002,Quebec-Commission de Toponymie,841.0,841.0,"Quebec: the oldest province of Canada, and its capital
    city, founded in 1608 by Champlain. The word Quebec is Indian in its origin and all
    authorities agree that its meaning is narrows, contraction,
    obstruction—“Where the river narrows”. Here is the
    narrowest place in the whole course of the St. Lawrence.
    The term is common to the Algonquin, Cree and Micmac
    languages and signifies the same in each dialect. Most of the early French authors spelled the word
    Kebec. Champlain wrote it Quebecq.",Indigenous,exact,Canadian Geographic Names Database
7,HAIMP,Regina,und,Undetermined,,City,Populated Place,CITY,0c2c63fa849c20c37a6b935d6eea300f,50.4548389,-104.6066083,,Saskatchewan,30000000,3/13/1947,"Saskatchewan-Ministry of Parks, Culture and Sport",857.0,857.0,"Regina: the capital of Saskatchewan. Regina is the Latin word for Queen. The name was[239] suggested in 1882 by the Princess Louise, wife of the
    Governor-General, Lord Lorne, who had been appealed to
    for a more attractive name than Pile of Bones when
    Lieutenant-Governor Dewdney selected the spot where the
    C.P.R. crossed Pile of Bones Creek as the site for a new
    seat of government. The name of Waskana, Sioux Indian
    for Pile of Bones, was suggested by Sir Sam Steele of the
    North West Mounted Police. In the early days heaps of
    buffalo bones lay along the edge of the creek.",Other European,exact,Armstrong (1930)
9,FEUZB,Toronto,und,Undetermined,,City,Populated Place,CITY,0e31fef3d05311d892e2080020a0f4c9,43.7417,-79.3733,York,Ontario,30000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,1020.0,1020.0,"Toronto: the capital of Ontario, and of a township in
    Peel county, Ontario, organized in 1806, and of Toronto
    Gore township in the same county, formed in 1819. [286] The city of Toronto was founded in 1793 by Lieut.-Governor
    Simcoe of Upper Canada under the name of
    York. This name was given in honour of Frederick, Duke
    of York, second son of King George III., who was commander
    of a British army that won a victory in conjunction
    with the Austrians in this year over the French
    armies in Flanders. When York was incorporated as a
    city in 1834 its name was changed to Toronto. The word Toronto is stated by nearly all authorities
    to be of Iroquois Indian origin but its meaning is disputed. Dr. Hough, an Indian scholar of the United States,
    derives the word from Iroquois Thoron-to-hen, meaning
    “timber (fallen trees) in the water”. Dr. L. H. Morgan, an American student of the Iroquois
    language, traces Toronto to De-on-do which he translates
    by “logs floating on the water”; a common sight, doubtless,
    on the bay before the advent of the whites. General John S. Clark of Auburn, N.Y., who
    contributed an exhaustive study of the word Toronto to
    the Ontario Archaeological Report of 1899, holds that the
    foregoing derivations are erroneous. He thinks the word
    is a contraction of a compound formed from Seneca Kanitare, “lake”, and onto, “to open”, that is the opening
    or gateway from Lake Ontario to the country of the
    Hurons. Toronto Bay was but the entrance to the route
    which continued by Toronto River (now Humber) and
    Lake Toronto (now Simcoe). See copy of a French map
    of 1680 in Lizars’ The Story of the Humber, the original
    of which is in the Quebec Seminary. Dr. Scadding in his Toronto of Old derives the word
    Toronto from the Huron language with the meaning of
    “much, many”. It was their name for the meeting-place,
    the populous region of native tribes, bordering on Lake
    Simcoe. The name became attached to the landing-place[287] of parties on the shore of Ontario who were on their way
    to the Huron country to hunt or trade, the starting place
    gradually taking the name of the goal. Some writers maintain Toronto means “a place of
    plenty”, a signification allied to that given by Dr.
    Scadding. They state the Hurons applied the term from
    which Toronto is derived to any body of water where
    ducks and fish were plentiful. Another signification is “trees-rising-out-of-the-water”,
    willows on The Island sighted from canoes, which
    seems to be mere guesswork from a Mohawk word of
    fancied resemblance.",Indigenous,exact,Armstrong (1930)
10,JBOBQ,Victoria,und,Undetermined,,City,Populated Place,CITY,0cfb728f849c20c36f8ebf28d7e4d1d4,48.428333,-123.364722,Victoria Land District,British Columbia,30000000,5/1/1934,"British Columbia-Tourism, Arts, Culture and Sport",1046.0,1046.0,"Victoria: the capital city of British Columbia; and a
    county in each of the provinces of Ontario, New Brunswick
    and Nova Scotia; and several minor places in
    Canada. All are named in commemoration of the illustrious
    Victoria, Queen of Great Britain and Ireland, and the
    Overseas Dominions, and Empress of India, 1837-1901.",English,exact,Armstrong (1930)
12,GBEIN,Winnipeg,cre,Cree,,City,Populated Place,CITY,c5868fcfbef311d892e2080020a0f4c9,49.884444,-97.146389,,Manitoba,30000000,1/1/1972,MB-Natural Resources and Northern Development,1092.0,1092.0,"Winnipeg: the capital city of Manitoba; and a lake in
    the same province. The city took its name from the lake. The word is Cree Indian, derived from win meaning
    “dirty” and nipi, “water”. An Indian legend ascribes the muddy character of the
    water of Lake Winnipeg to a deity who was taken captive
    by an elderly squaw and so besmeared by dirt that it took
    all the water of the lake to purify him, and by way of
    retaliation he has ever since busied himself keeping up the
    discoloration. Fort Garry, a trading post of the Hudson’s Bay Company,
    and so called after one of its officers, was the
    nucleus of the city of Winnipeg. The first house in the
    place is said to have been built in 1862. The post office
    was opened in 1870 under the name of Fort Garry and
    changed in 1876 to Winnipeg. Lower Fort Garry was in the Selkirk Settlement
    twenty miles north of Upper Fort Garry (Winnipeg).",Indigenous,exact,Canadian Geographic Names Database
15,IACYE,Banff,und,Undetermined,,Town,Populated Place,TOWN,7b1af00ed05511d892e2080020a0f4c9,51.1777778,-115.5736111,25-12-W5,Alberta,15000000,1/1/1995,AB-Ministry of Culture and Status of Women,80.0,80.0,"Banff: town in Alberta, situated at the headquarters
    of the Rocky Mountains Park (2,751 square miles), controlled
    by the Dominion Government. It took its name from Banffshire, Scotland, the birthplace
    of Lord Mount Stephen, a former president of the
    C.P.R.",Scottish,exact,Armstrong (1930)
